name,psnr_quality,ssim_quality,fsim_quality,psnr_protection,ssim_protection,fsim_protection,subject_lpips_orig,global_lpips_orig,subject_lpips_edited,global_lpips_edited,attack_success_score,attack_successes_count,attack_success_rate
./InstructionPix2Pix/full_dataset/VAE_MSE,24.3883,0.8389,0.8206,20.2210,0.7604,0.6570,0.6547,0.1651,0.6845,0.2406,5.0733,146,0.7300
./SD_Img2Img/full_dataset/VAE_MSE,24.3883,0.8389,0.8206,18.7816,0.6317,0.5690,0.6547,0.1651,0.7023,0.4234,5.8958,167,0.8350
./SD_Inpainting/full_dataset/VAE_MSE,24.3883,0.8389,0.8206,14.0893,0.4148,0.4199,0.6547,0.1651,0.6547,0.6140,6.9575,199,0.9950
./InstructionPix2Pix/full_dataset/VAE_MSE_FT,30.2450,0.9124,0.8821,22.1250,0.7908,0.6813,0.3637,0.0939,0.5340,0.2026,4.7733,138,0.6900
./SD_Inpainting/full_dataset/VAE_MSE_FT,30.2450,0.9124,0.8821,15.2174,0.5253,0.4765,0.3637,0.0939,0.3637,0.5019,6.5258,184,0.9200
./SD_Img2Img/full_dataset/VAE_MSE_FT,30.2450,0.9124,0.8821,19.3493,0.6516,0.5892,0.3637,0.0939,0.6272,0.4010,5.8196,160,0.8000
./InstructionPix2Pix/full_dataset/VAE_MSE_FT_2_STAGE,32.4316,0.9316,0.8958,22.6643,0.8052,0.6955,0.2695,0.0695,0.4702,0.1806,5.2988,137,0.6850
./SD_Inpainting/full_dataset/VAE_MSE_FT_2_STAGE,32.4316,0.9316,0.8958,15.7260,0.5534,0.4933,0.2695,0.0695,0.2695,0.4656,5.1721,126,0.6300
./SD_Img2Img/full_dataset/VAE_MSE_FT_2_STAGE,32.4316,0.9316,0.8958,20.4774,0.6738,0.5938,0.2695,0.0695,0.5646,0.3745,5.8863,160,0.8000
./InstructionPix2Pix/full_dataset/DiffVax,34.7620,0.9890,0.9626,25.7186,0.8912,0.7753,0.1258,0.0251,0.2520,0.1006,1.7846,36,0.1800
./SD_Inpainting/full_dataset/DiffVax,34.7620,0.9890,0.9626,14.1890,0.5286,0.4852,0.1258,0.0251,0.1258,0.5647,5.7442,188,0.9400
./SD_Img2Img/full_dataset/DiffVax,34.7620,0.9890,0.9626,29.3345,0.9464,0.8314,0.1258,0.0251,0.1186,0.0503,1.6017,27,0.1350
