name,psnr_quality,ssim_quality,fsim_quality,psnr_protection,ssim_protection,fsim_protection,subject_lpips_orig,global_lpips_orig,subject_lpips_edited,global_lpips_edited,attack_success_score,attack_successes_count,attack_success_rate
./InstructionPix2Pix/full_dataset/VAE_MSE_FT_2_STAGE,32.4316,0.9316,0.8958,22.6643,0.8052,0.6955,0.2695,0.0695,0.4702,0.1806,5.2988,137,0.6850
./SD_Inpainting/full_dataset/VAE_MSE_FT_2_STAGE,32.4316,0.9316,0.8958,15.7260,0.5534,0.4933,0.2695,0.0695,0.2695,0.4656,5.1721,126,0.6300
./SD_Img2Img/full_dataset/VAE_MSE_FT_2_STAGE,32.4316,0.9316,0.8958,20.4774,0.6738,0.5938,0.2695,0.0695,0.5646,0.3745,5.8863,160,0.8000
./InstructionPix2Pix/full_dataset/VAE_MSE_TARGET_OPT,32.5601,0.9289,0.8946,22.2030,0.7956,0.6890,0.2859,0.0744,0.4854,0.1898,5.4142,162,0.8100
./SD_Inpainting/full_dataset/VAE_MSE_TARGET_OPT,32.5601,0.9289,0.8946,15.2937,0.5270,0.4787,0.2859,0.0744,0.2859,0.4914,6.3650,182,0.9100
./SD_Img2Img/full_dataset/VAE_MSE_TARGET_OPT,32.5601,0.9289,0.8946,20.1594,0.6586,0.5775,0.2859,0.0744,0.5653,0.3950,6.2783,175,0.8750
./InstructionPix2Pix/full_dataset/DiffVax,34.7620,0.9890,0.9626,25.7186,0.8912,0.7753,0.1258,0.0251,0.2520,0.1006,1.7846,36,0.1800
./SD_Inpainting/full_dataset/DiffVax,34.7620,0.9890,0.9626,14.1890,0.5286,0.4852,0.1258,0.0251,0.1258,0.5647,5.7442,188,0.9400
./SD_Img2Img/full_dataset/DiffVax,34.7620,0.9890,0.9626,29.3345,0.9464,0.8314,0.1258,0.0251,0.1186,0.0503,1.6017,27,0.1350
./InstructionPix2Pix/full_dataset/PhotoGuard,32.2082,0.8365,0.7432,15.6748,0.5718,0.4974,0.1334,0.2432,0.6440,0.5192,5.0421,119,0.5950
./SD_Inpainting/full_dataset/PhotoGuard,32.2082,0.8365,0.7432,17.0493,0.6254,0.5367,0.1334,0.2432,0.1334,0.3625,4.0775,69,0.3450
./SD_Img2Img/full_dataset/PhotoGuard,32.2082,0.8365,0.7432,14.2021,0.4146,0.4605,0.1334,0.2432,0.7239,0.6869,6.1117,172,0.8600
