name,psnr_quality,ssim_quality,fsim_quality,psnr_protection,ssim_protection,fsim_protection,subject_lpips_orig,global_lpips_orig,subject_lpips_edited,global_lpips_edited,attack_success_score,attack_successes_count,attack_success_rate,optimistic_miou_orig,pessimistic_miou_orig,optimistic_miou_edited,pessimistic_miou_edited
./InstructionPix2Pix/full_dataset/DiffVax,34.7620,0.9890,0.9626,25.7186,0.8912,0.7753,0.1258,0.0251,0.2520,0.1006,1.7846,36,0.1800,0.8924,0.8375,0.7991,0.6766
./SD_Inpainting/full_dataset/DiffVax,34.7620,0.9890,0.9626,14.1890,0.5286,0.4852,0.1258,0.0251,0.1258,0.5647,5.7442,188,0.9400,0.8924,0.8375,0.5110,0.1589
./SD_Img2Img/full_dataset/DiffVax,34.7620,0.9890,0.9626,29.3345,0.9464,0.8314,0.1258,0.0251,0.1186,0.0503,1.6017,27,0.1350,0.8924,0.8375,0.7753,0.6244
./InstructionPix2Pix/full_dataset/PhotoGuard,32.2082,0.8365,0.7432,15.6748,0.5718,0.4974,0.1334,0.2432,0.6440,0.5192,5.0421,119,0.5950,0.7208,0.4869,0.5661,0.2513
./SD_Inpainting/full_dataset/PhotoGuard,32.2082,0.8365,0.7432,17.0493,0.6254,0.5367,0.1334,0.2432,0.1334,0.3625,4.0775,69,0.3450,0.7208,0.4869,0.4311,0.2250
./SD_Img2Img/full_dataset/PhotoGuard,32.2082,0.8365,0.7432,14.2021,0.4146,0.4605,0.1334,0.2432,0.7239,0.6869,6.1117,172,0.8600,0.7208,0.4869,0.2610,0.0598
./InstructionPix2Pix/full_dataset/VAE_MSE,24.3883,0.8389,0.8206,20.2210,0.7604,0.6570,0.6547,0.1651,0.6845,0.2406,5.0733,146,0.7300,0.8343,0.7040,0.7377,0.5684
./SD_Inpainting/full_dataset/VAE_MSE,24.3883,0.8389,0.8206,14.0893,0.4148,0.4199,0.6547,0.1651,0.6547,0.6140,6.9575,199,0.9950,0.8343,0.7040,0.3708,0.1382
./SD_Img2Img/full_dataset/VAE_MSE,24.3883,0.8389,0.8206,18.7816,0.6317,0.5690,0.6547,0.1651,0.7023,0.4234,5.8958,167,0.8350,0.8343,0.7040,0.4643,0.2209
./InstructionPix2Pix/full_dataset/VAE_MSE_FT,30.2450,0.9124,0.8821,22.1250,0.7908,0.6813,0.3637,0.0939,0.5340,0.2026,4.7733,138,0.6900,-,-,-,-
./SD_Inpainting/full_dataset/VAE_MSE_FT,30.2450,0.9124,0.8821,15.2174,0.5253,0.4765,0.3637,0.0939,0.3637,0.5019,6.5258,184,0.9200,-,-,-,-
./SD_Img2Img/full_dataset/VAE_MSE_FT,30.2450,0.9124,0.8821,19.3493,0.6516,0.5892,0.3637,0.0939,0.6272,0.4010,5.8196,160,0.8000,-,-,-,-
./InstructionPix2Pix/full_dataset/VAE_MSE_FT_2_STAGE,32.4316,0.9316,0.8958,22.6643,0.8052,0.6955,0.2695,0.0695,0.4702,0.1806,5.2988,137,0.6850,0.8554,0.7582,0.7636,0.6034
./SD_Inpainting/full_dataset/VAE_MSE_FT_2_STAGE,32.4316,0.9316,0.8958,15.7260,0.5534,0.4933,0.2695,0.0695,0.2695,0.4656,5.1721,126,0.6300,0.8554,0.7582,0.4151,0.1789
./SD_Img2Img/full_dataset/VAE_MSE_FT_2_STAGE,32.4316,0.9316,0.8958,20.4774,0.6738,0.5938,0.2695,0.0695,0.5646,0.3745,5.8863,160,0.8000,0.8554,0.7582,0.4829,0.2327
./InstructionPix2Pix/full_dataset/VAE_MSE_FT_2_STAGE_NOSIE_ALL,29.3476,0.8107,0.7159,17.0959,0.6112,0.5310,0.2208,0.2451,0.6063,0.4720,5.3267,133,0.6650,0.6883,0.4316,0.5851,0.3003
./SD_Inpainting/full_dataset/VAE_MSE_FT_2_STAGE_NOSIE_ALL,29.3476,0.8107,0.7159,16.2166,0.5776,0.5078,0.2208,0.2451,0.2208,0.4262,5.9329,159,0.7950,0.6883,0.4316,0.4245,0.1842
./SD_Img2Img/full_dataset/VAE_MSE_FT_2_STAGE_NOSIE_ALL,29.3476,0.8107,0.7159,14.9536,0.4298,0.4702,0.2208,0.2451,0.7045,0.6624,6.1058,173,0.8650,0.6883,0.4316,0.3113,0.0779
./InstructionPix2Pix/full_dataset/VAE_MSE_TARGET_OPT,32.5601,0.9289,0.8946,22.2030,0.7956,0.6890,0.2859,0.0744,0.4854,0.1898,5.4142,162,0.8100,0.8533,0.7549,0.7521,0.5936
./SD_Inpainting/full_dataset/VAE_MSE_TARGET_OPT,32.5601,0.9289,0.8946,15.2937,0.5270,0.4787,0.2859,0.0744,0.2859,0.4914,6.3650,182,0.9100,0.8533,0.7549,0.4022,0.1615
./SD_Img2Img/full_dataset/VAE_MSE_TARGET_OPT,32.5601,0.9289,0.8946,20.1594,0.6586,0.5775,0.2859,0.0744,0.5653,0.3950,6.2783,175,0.8750,0.8533,0.7549,0.4701,0.2025
./InstructionPix2Pix/full_dataset/VAE_MSE_TARGET_OPT_NOISE_ALL,30.0155,0.8188,0.7246,16.8932,0.5996,0.5237,0.2026,0.2468,0.5984,0.4960,5.7379,148,0.7400,0.6882,0.4560,0.5994,0.3080
