name,psnr_quality,ssim_quality,fsim_quality,psnr_protection,ssim_protection,fsim_protection,subject_lpips_orig,global_lpips_orig,subject_lpips_edited,global_lpips_edited,attack_success_score,attack_successes_count,attack_success_rate
./InstructionPix2Pix/full_dataset/MagicBrush_gray_FT,28.6680,0.7696,0.7218,15.9707,0.5219,0.4461,0.2624,0.2322,0.5374,0.5239,5.2603,177,0.6654
./SD_Inpainting/full_dataset/MagicBrush_gray_FT,28.6680,0.7696,0.7218,20.6217,0.6721,0.6000,0.2624,0.2322,0.2624,0.3373,6.3004,224,0.8421
./SD_Img2Img/full_dataset/MagicBrush_gray_FT,28.6680,0.7696,0.7218,16.3165,0.4431,0.4327,0.2624,0.2322,0.6015,0.5941,6.4862,243,0.9135
./InstructionPix2Pix/full_dataset/MagicBrush_gray_noFT,27.4910,0.7260,0.6762,16.1273,0.5209,0.4454,0.3182,0.2812,0.5403,0.5268,5.3064,184,0.6917
./SD_Inpainting/full_dataset/MagicBrush_gray_noFT,27.4910,0.7260,0.6762,20.1145,0.6262,0.5565,0.3182,0.2812,0.3182,0.3870,6.6178,246,0.9248
./SD_Img2Img/full_dataset/MagicBrush_gray_noFT,27.4910,0.7260,0.6762,16.5262,0.4499,0.4353,0.3182,0.2812,0.5936,0.5864,6.4474,241,0.9060
./InstructionPix2Pix/full_dataset/MagicBrush_target_opt,29.2611,0.7818,0.7298,16.3622,0.5323,0.4606,0.2475,0.2207,0.5160,0.5039,5.4862,193,0.7256
./SD_Inpainting/full_dataset/MagicBrush_target_opt,29.2611,0.7818,0.7298,21.0118,0.6854,0.6095,0.2475,0.2207,0.2475,0.3214,6.3434,237,0.8910
./SD_Img2Img/full_dataset/MagicBrush_target_opt,29.2611,0.7818,0.7298,17.1323,0.4661,0.4399,0.2475,0.2207,0.5650,0.5594,6.5304,247,0.9286
./InstructionPix2Pix/full_dataset/MagicBrush_photoguard,37.6308,0.9365,0.8269,16.9991,0.5784,0.5001,0.0678,0.0679,0.4202,0.4240,4.5486,147,0.5526
./SD_Inpainting/full_dataset/MagicBrush_photoguard,37.6308,0.9365,0.8269,24.5432,0.8642,0.7393,0.0678,0.0679,0.0678,0.1446,3.4239,100,0.3759
./SD_Img2Img/full_dataset/MagicBrush_photoguard,37.6308,0.9365,0.8269,17.9132,0.5203,0.4706,0.0678,0.0679,0.4928,0.4997,6.3540,237,0.8910
