name,psnr_quality,ssim_quality,fsim_quality,psnr_protection,ssim_protection,fsim_protection,subject_lpips_orig,global_lpips_orig,subject_lpips_edited,global_lpips_edited,attack_success_score,attack_successes_count,attack_success_rate,optimistic_miou_orig,pessimistic_miou_orig,optimistic_miou_edited,pessimistic_miou_edited
./InstructionPix2Pix/full_dataset/TedBench_diff_noise_mask_invert,30.9404,0.8455,0.7861,17.2671,0.5734,0.4899,0.2762,0.1906,0.4712,0.4152,3.7367,31,0.3100,0.7246,0.4870,0.6262,0.3769
./SD_Inpainting/full_dataset/TedBench_diff_noise_mask_invert,30.9404,0.8455,0.7861,18.8593,0.6652,0.5463,0.2762,0.1906,0.2762,0.3800,6.3767,93,0.9300,0.7246,0.4870,0.7119,0.4257
./SD_Img2Img/full_dataset/TedBench_diff_noise_mask_invert,30.9404,0.8455,0.7861,17.2985,0.4978,0.4857,0.2762,0.1906,0.5818,0.5438,6.5175,97,0.9700,0.7246,0.4870,0.4978,0.2473
./InstructionPix2Pix/full_dataset/TedBench_diff_noise_all,29.2343,0.7886,0.6844,16.1097,0.5239,0.4493,0.2198,0.2495,0.5857,0.4848,4.3275,47,0.4700,0.7064,0.4373,0.6144,0.3360
./SD_Inpainting/full_dataset/TedBench_diff_noise_all,29.2343,0.7886,0.6844,17.3413,0.5726,0.4948,0.2198,0.2495,0.2198,0.4710,5.5958,74,0.7400,0.7064,0.4373,0.5721,0.2428
./SD_Img2Img/full_dataset/TedBench_diff_noise_all,29.2343,0.7886,0.6844,15.5742,0.4292,0.4356,0.2198,0.2495,0.7369,0.6393,6.4283,93,0.9300,0.7064,0.4373,0.4178,0.1773
./InstructionPix2Pix/full_dataset/TedBench_diff_noise_mask_stage_1,26.7828,0.7642,0.7405,16.9193,0.5501,0.4725,0.4383,0.3002,0.5180,0.4487,4.1508,47,0.4700,0.7392,0.3872,0.6219,0.3434
./SD_Inpainting/full_dataset/TedBench_diff_noise_mask_stage_1,26.7828,0.7642,0.7405,17.3784,0.5660,0.5011,0.4383,0.3002,0.4383,0.5010,6.8000,97,0.9700,0.7392,0.3872,0.6942,0.3272
./SD_Img2Img/full_dataset/TedBench_diff_noise_mask_stage_1,26.7828,0.7642,0.7405,15.7972,0.4482,0.4727,0.4383,0.3002,0.6454,0.6098,6.4075,95,0.9500,0.7392,0.3872,0.4716,0.2182
./InstructionPix2Pix/full_dataset/TedBench_magic_noise_all,28.3259,0.7475,0.6604,15.6423,0.5027,0.4253,0.2920,0.2836,0.5427,0.5234,4.4608,50,0.5000,0.7370,0.4943,0.6017,0.3090
./SD_Inpainting/full_dataset/TedBench_magic_noise_all,28.3259,0.7475,0.6604,18.9579,0.6388,0.5352,0.2920,0.2836,0.2920,0.3893,6.1317,84,0.8400,0.7370,0.4943,0.7481,0.4533
./SD_Img2Img/full_dataset/TedBench_magic_noise_all,28.3259,0.7475,0.6604,15.0432,0.4088,0.4252,0.2920,0.2836,0.6487,0.6695,6.4033,94,0.9400,0.7370,0.4943,0.3939,0.1559
./InstructionPix2Pix/full_dataset/TedBench_magic_noise_mask,30.1909,0.8162,0.7702,16.9385,0.5595,0.4755,0.3074,0.2127,0.5016,0.4415,3.7408,33,0.3300,0.7591,0.4910,0.6177,0.3609
./SD_Inpainting/full_dataset/TedBench_magic_noise_mask,30.1909,0.8162,0.7702,18.6776,0.6327,0.5294,0.3074,0.2127,0.3074,0.4040,6.3283,89,0.8900,0.7591,0.4910,0.7117,0.4306
./SD_Img2Img/full_dataset/TedBench_magic_noise_mask,30.1909,0.8162,0.7702,16.3976,0.4633,0.4763,0.3074,0.2127,0.6142,0.5836,6.4967,94,0.9400,0.7591,0.4910,0.4832,0.2166
./InstructionPix2Pix/full_dataset/TedBench_photoguard,37.6347,0.9379,0.8190,17.1107,0.5842,0.4984,0.0456,0.0872,0.4866,0.3953,3.4608,35,0.3500,0.8469,0.7012,0.6354,0.3843
./SD_Inpainting/full_dataset/TedBench_photoguard,37.6347,0.9379,0.8190,20.5910,0.7124,0.5960,0.0456,0.0872,0.0456,0.3025,2.8375,22,0.2200,0.8469,0.7012,0.6403,0.3602
./SD_Img2Img/full_dataset/TedBench_photoguard,37.6347,0.9379,0.8190,18.0251,0.5404,0.4909,0.0456,0.0872,0.5476,0.5007,6.5917,95,0.9500,0.8469,0.7012,0.5421,0.2479
