name,psnr_quality,ssim_quality,fsim_quality,psnr_protection,ssim_protection,fsim_protection,subject_lpips_orig,global_lpips_orig,subject_lpips_edited,global_lpips_edited,attack_success_score,attack_successes_count,attack_success_rate,optimistic_miou_orig,pessimistic_miou_orig,optimistic_miou_edited,pessimistic_miou_edited
./InstructionPix2Pix/full_dataset/DiffVax_magic_gray_all,28.5492,0.7763,0.6942,16.5005,0.5897,0.5135,0.2513,0.2798,0.6382,0.4993,5.5171,139,0.6950,0.6917,0.4268,0.5687,0.2706
./SD_Inpainting/full_dataset/DiffVax_magic_gray_all,28.5492,0.7763,0.6942,16.1443,0.5651,0.5006,0.2513,0.2798,0.2513,0.4381,5.8858,159,0.7950,0.6917,0.4268,0.4105,0.1834
./SD_Img2Img/full_dataset/DiffVax_magic_gray_all,28.5492,0.7763,0.6942,13.3160,0.3578,0.4620,0.2513,0.2798,0.7562,0.7297,5.5800,155,0.7750,0.6917,0.4268,0.2426,0.0662
./InstructionPix2Pix/full_dataset/DiffVax_magic_gray_mask,32.0592,0.9215,0.8894,21.9076,0.7923,0.6871,0.2992,0.0777,0.5009,0.1954,5.4633,156,0.7800,0.8501,0.7459,0.7503,0.5863
./SD_Inpainting/full_dataset/DiffVax_magic_gray_mask,32.0592,0.9215,0.8894,15.2128,0.5164,0.4736,0.2992,0.0777,0.2992,0.4982,6.4721,189,0.9450,0.8501,0.7459,0.4088,0.1594
./SD_Img2Img/full_dataset/DiffVax_magic_gray_mask,32.0592,0.9215,0.8894,19.9288,0.6480,0.5738,0.2992,0.0777,0.5756,0.4068,6.3354,176,0.8800,0.8501,0.7459,0.4718,0.2017
./InstructionPix2Pix/full_dataset/DiffVax_magic_opt_mask,32.6638,0.9262,0.8929,21.4239,0.7871,0.6865,0.2731,0.0712,0.4901,0.2005,5.0608,140,0.7000,0.8551,0.7571,0.7479,0.5808
./SD_Inpainting/full_dataset/DiffVax_magic_opt_mask,32.6638,0.9262,0.8929,15.0594,0.5043,0.4661,0.2731,0.0712,0.2731,0.5111,6.3625,183,0.9150,0.8551,0.7571,0.4106,0.1666
./SD_Img2Img/full_dataset/DiffVax_magic_opt_mask,32.6638,0.9262,0.8929,20.2078,0.6564,0.5618,0.2731,0.0712,0.5494,0.4066,6.3158,177,0.8850,0.8551,0.7571,0.4898,0.1923
./InstructionPix2Pix/full_dataset/MagicBrush_diff_gray_mask,29.5357,0.8071,0.7413,16.4644,0.5366,0.4620,0.2309,0.2041,0.5110,0.4994,5.3174,180,0.6767,0.6337,0.4068,0.4708,0.2308
./SD_Inpainting/full_dataset/MagicBrush_diff_gray_mask,29.5357,0.8071,0.7413,20.9685,0.7077,0.6188,0.2309,0.2041,0.2309,0.3092,6.2948,232,0.8722,0.6337,0.4068,0.5534,0.3054
./SD_Img2Img/full_dataset/MagicBrush_diff_gray_mask,29.5357,0.8071,0.7413,16.3959,0.4447,0.4437,0.2309,0.2041,0.5883,0.5819,6.3778,239,0.8985,0.6337,0.4068,0.3067,0.1079
./InstructionPix2Pix/full_dataset/MagicBrush_diff_gray_all,28.8887,0.7782,0.6959,15.8827,0.5174,0.4467,0.2209,0.2283,0.5250,0.5317,5.3963,193,0.7256,0.6101,0.3752,0.4545,0.2133
./SD_Inpainting/full_dataset/MagicBrush_diff_gray_all,28.8887,0.7782,0.6959,21.9631,0.7195,0.6271,0.2209,0.2283,0.2209,0.2931,6.2262,226,0.8496,0.6101,0.3752,0.5505,0.3063
./SD_Img2Img/full_dataset/MagicBrush_diff_gray_all,28.8887,0.7782,0.6959,15.4238,0.4068,0.4273,0.2209,0.2283,0.6173,0.6308,6.3697,241,0.9060,0.6101,0.3752,0.2652,0.0818
./InstructionPix2Pix/full_dataset/MagicBrush_diff_opt_mask,29.9635,0.8114,0.7477,16.7309,0.5413,0.4721,0.2250,0.1986,0.4969,0.4854,5.5207,197,0.7406,0.6541,0.4259,0.4815,0.2343
./SD_Inpainting/full_dataset/MagicBrush_diff_opt_mask,29.9635,0.8114,0.7477,21.1261,0.7128,0.6253,0.2250,0.1986,0.2250,0.3033,6.4041,237,0.8910,0.6541,0.4259,0.5537,0.3138
./SD_Img2Img/full_dataset/MagicBrush_diff_opt_mask,29.9635,0.8114,0.7477,17.4518,0.4807,0.4444,0.2250,0.1986,0.5454,0.5386,6.5113,243,0.9135,0.6541,0.4259,0.3150,0.1108
