name,psnr_quality,ssim_quality,fsim_quality,psnr_protection,ssim_protection,fsim_protection,subject_lpips_orig,global_lpips_orig,subject_lpips_edited,global_lpips_edited,attack_success_score,attack_successes_count,attack_success_rate
./InstructionPix2Pix/full_dataset/VAE_MSE,24.3883,0.8389,0.8206,20.2210,0.7604,0.6570,0.6547,0.1651,0.6845,0.2406,5.0733,146,0.7300
./SD_Inpainting/full_dataset/VAE_MSE,24.3883,0.8389,0.8206,14.0893,0.4148,0.4199,0.6547,0.1651,0.6547,0.6140,6.9575,199,0.9950
./SD_Img2Img/full_dataset/VAE_MSE,24.3883,0.8389,0.8206,18.7816,0.6317,0.5690,0.6547,0.1651,0.7023,0.4234,5.8958,167,0.8350
./InstructionPix2Pix/full_dataset/VAE_MSE_FT,30.2450,0.9124,0.8821,22.1250,0.7908,0.6813,0.3637,0.0939,0.5340,0.2026,4.7733,138,0.6900
./SD_Inpainting/full_dataset/VAE_MSE_FT,30.2450,0.9124,0.8821,15.2174,0.5253,0.4765,0.3637,0.0939,0.3637,0.5019,6.5258,184,0.9200
./SD_Img2Img/full_dataset/VAE_MSE_FT,30.2450,0.9124,0.8821,19.3493,0.6516,0.5892,0.3637,0.0939,0.6272,0.4010,5.8196,160,0.8000
./InstructionPix2Pix/full_dataset/VAE_MSE_FT_2_STAGE,32.4316,0.9316,0.8958,22.6643,0.8052,0.6955,0.2695,0.0695,0.4702,0.1806,5.2988,137,0.6850
./SD_Inpainting/full_dataset/VAE_MSE_FT_2_STAGE,32.4316,0.9316,0.8958,15.7260,0.5534,0.4933,0.2695,0.0695,0.2695,0.4656,5.1721,126,0.6300
./SD_Img2Img/full_dataset/VAE_MSE_FT_2_STAGE,32.4316,0.9316,0.8958,20.4774,0.6738,0.5938,0.2695,0.0695,0.5646,0.3745,5.8863,160,0.8000
./InstructionPix2Pix/full_dataset/Stage 2,33.3677,0.9690,0.9363,24.4476,0.8619,0.7516,0.2144,0.0560,0.3392,0.1272,3.3075,75,0.3750
./SD_Inpainting/full_dataset/Stage 2,33.3677,0.9690,0.9363,16.8125,0.6418,0.5555,0.2144,0.0560,0.2144,0.3756,4.3771,91,0.4550
./SD_Img2Img/full_dataset/Stage 2,33.3677,0.9690,0.9363,24.1497,0.8407,0.7338,0.2144,0.0560,0.3343,0.1678,4.0362,96,0.4800
