Esperimento,Attacco,Tipo Attacco,Parametro,Punteggio Successo Attacco,IoU Ottimistico,IoU Pessimistico
./robustness_results/InstructPix2Pix/DiffVax,clean@None,clean,None,1.7700,0.7997,0.7041
./robustness_results/InstructPix2Pix/DiffVax,jpeg@85,jpeg,85,1.5967,0.7982,0.6932
./robustness_results/InstructPix2Pix/DiffVax,jpeg@60,jpeg,60,1.7900,0.7423,0.6100
./robustness_results/InstructPix2Pix/DiffVax,jpeg@50,jpeg,50,1.7600,0.7440,0.5923
./robustness_results/InstructPix2Pix/DiffVax,crop_center@0.9,crop_center,0.9,1.7700,0.5886,0.4528
./robustness_results/InstructPix2Pix/DiffVax,crop_center@0.75,crop_center,0.75,1.8633,0.4293,0.3113
./robustness_results/InstructPix2Pix/DiffVax,crop_center@0.5,crop_center,0.5,2.6967,0.2907,0.1735
./robustness_results/InstructPix2Pix/DiffVax,crop_random@0.9,crop_random,0.9,1.6467,0.5380,0.4077
./robustness_results/InstructPix2Pix/DiffVax,crop_random@0.75,crop_random,0.75,2.0667,0.4029,0.2789
./robustness_results/InstructPix2Pix/DiffVax,crop_random@0.5,crop_random,0.5,2.7233,0.2590,0.1534
./robustness_results/InstructPix2Pix/DiffVax,blur@0.5,blur,0.5,1.8600,0.7909,0.6660
./robustness_results/InstructPix2Pix/DiffVax,blur@1.0,blur,1.0,1.5267,0.7802,0.6164
./robustness_results/InstructPix2Pix/DiffVax,blur@2.0,blur,2.0,2.2333,0.7504,0.5395
./robustness_results/InstructPix2Pix/DiffVax,blur@4.0,blur,4.0,3.5800,0.6083,0.3863
./robustness_results/SD_Inpainting/DiffVax,clean@None,clean,None,4.8300,0.4119,0.1087
./robustness_results/SD_Inpainting/DiffVax,jpeg@85,jpeg,85,4.0567,0.4082,0.1174
./robustness_results/SD_Inpainting/DiffVax,jpeg@60,jpeg,60,4.7033,0.4163,0.1368
./robustness_results/SD_Inpainting/DiffVax,jpeg@50,jpeg,50,3.9467,0.4138,0.1312
./robustness_results/SD_Inpainting/DiffVax,crop_center@0.9,crop_center,0.9,2.4433,0.4420,0.2150
./robustness_results/SD_Inpainting/DiffVax,crop_center@0.75,crop_center,0.75,2.8200,0.4051,0.1864
./robustness_results/SD_Inpainting/DiffVax,crop_center@0.5,crop_center,0.5,3.5100,0.3199,0.1330
./robustness_results/SD_Inpainting/DiffVax,crop_random@0.9,crop_random,0.9,3.5633,0.3840,0.1760
./robustness_results/SD_Inpainting/DiffVax,crop_random@0.75,crop_random,0.75,3.7533,0.2823,0.1147
./robustness_results/SD_Inpainting/DiffVax,crop_random@0.5,crop_random,0.5,4.5633,0.2323,0.0821
./robustness_results/SD_Inpainting/DiffVax,blur@0.5,blur,0.5,4.4667,0.4270,0.1172
./robustness_results/SD_Inpainting/DiffVax,blur@1.0,blur,1.0,4.2867,0.4166,0.1368
./robustness_results/SD_Inpainting/DiffVax,blur@2.0,blur,2.0,4.2400,0.3964,0.1405
./robustness_results/SD_Inpainting/DiffVax,blur@4.0,blur,4.0,2.7033,0.3582,0.1400
./robustness_results/SD_Img2Img/DiffVax,clean@None,clean,None,1.3267,0.7804,0.6575
./robustness_results/SD_Img2Img/DiffVax,jpeg@85,jpeg,85,1.3200,0.7604,0.6070
./robustness_results/SD_Img2Img/DiffVax,jpeg@60,jpeg,60,1.4100,0.7105,0.5487
./robustness_results/SD_Img2Img/DiffVax,jpeg@50,jpeg,50,1.5367,0.7255,0.5293
./robustness_results/SD_Img2Img/DiffVax,crop_center@0.9,crop_center,0.9,2.8033,0.5574,0.3188
./robustness_results/SD_Img2Img/DiffVax,crop_center@0.75,crop_center,0.75,2.6500,0.4770,0.2467
./robustness_results/SD_Img2Img/DiffVax,crop_center@0.5,crop_center,0.5,3.3933,0.3418,0.1585
./robustness_results/SD_Img2Img/DiffVax,crop_random@0.9,crop_random,0.9,3.1067,0.5164,0.2983
./robustness_results/SD_Img2Img/DiffVax,crop_random@0.75,crop_random,0.75,2.6633,0.3831,0.1845
./robustness_results/SD_Img2Img/DiffVax,crop_random@0.5,crop_random,0.5,3.3867,0.3058,0.1360
./robustness_results/SD_Img2Img/DiffVax,blur@0.5,blur,0.5,1.2967,0.7911,0.6547
./robustness_results/SD_Img2Img/DiffVax,blur@1.0,blur,1.0,1.9833,0.7059,0.5011
./robustness_results/SD_Img2Img/DiffVax,blur@2.0,blur,2.0,2.8667,0.6246,0.3745
./robustness_results/SD_Img2Img/DiffVax,blur@4.0,blur,4.0,4.2633,0.6016,0.3148
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,clean@None,clean,None,4.5167,0.4911,0.1886
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,jpeg@85,jpeg,85,4.1200,0.5294,0.2615
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,jpeg@60,jpeg,60,4.5967,0.5802,0.3298
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,jpeg@50,jpeg,50,4.7800,0.5899,0.3255
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,crop_center@0.9,crop_center,0.9,5.7200,0.4624,0.1924
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,crop_center@0.75,crop_center,0.75,5.7033,0.3810,0.1430
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,crop_center@0.5,crop_center,0.5,5.9633,0.3288,0.1337
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,crop_random@0.9,crop_random,0.9,5.9067,0.4371,0.1679
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,crop_random@0.75,crop_random,0.75,5.3367,0.4028,0.1570
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,crop_random@0.5,crop_random,0.5,6.1167,0.2609,0.0785
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,blur@0.5,blur,0.5,3.9633,0.4935,0.2087
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,blur@1.0,blur,1.0,3.5733,0.5004,0.2838
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,blur@2.0,blur,2.0,3.5833,0.5422,0.2919
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,blur@4.0,blur,4.0,3.7267,0.5254,0.2489
./robustness_results/SD_Inpainting/MagicBrush_gray_FT,clean@None,clean,None,5.4467,0.5467,0.2526
./robustness_results/SD_Inpainting/MagicBrush_gray_FT,jpeg@85,jpeg,85,4.8100,0.5697,0.3233
./robustness_results/SD_Inpainting/MagicBrush_gray_FT,jpeg@60,jpeg,60,4.4800,0.6468,0.3893
./robustness_results/SD_Inpainting/MagicBrush_gray_FT,jpeg@50,jpeg,50,4.3267,0.5937,0.3747
./robustness_results/SD_Inpainting/MagicBrush_gray_FT,crop_center@0.9,crop_center,0.9,5.2733,0.5675,0.2823
./robustness_results/SD_Inpainting/MagicBrush_gray_FT,crop_center@0.75,crop_center,0.75,6.8133,0.4270,0.1963
./robustness_results/SD_Inpainting/MagicBrush_gray_FT,crop_center@0.5,crop_center,0.5,7.0000,0.3147,0.1071
./robustness_results/SD_Inpainting/MagicBrush_gray_FT,crop_random@0.9,crop_random,0.9,6.1600,0.5095,0.2492
./robustness_results/SD_Inpainting/MagicBrush_gray_FT,crop_random@0.75,crop_random,0.75,6.3833,0.4017,0.1589
./robustness_results/SD_Inpainting/MagicBrush_gray_FT,crop_random@0.5,crop_random,0.5,7.0000,0.2825,0.0930
./robustness_results/SD_Inpainting/MagicBrush_gray_FT,blur@0.5,blur,0.5,4.5633,0.5580,0.3237
./robustness_results/SD_Inpainting/MagicBrush_gray_FT,blur@1.0,blur,1.0,2.8067,0.6672,0.4285
./robustness_results/SD_Inpainting/MagicBrush_gray_FT,blur@2.0,blur,2.0,3.4200,0.6418,0.4086
./robustness_results/SD_Inpainting/MagicBrush_gray_FT,blur@4.0,blur,4.0,3.5700,0.5670,0.3244
./robustness_results/SD_Img2Img/MagicBrush_gray_FT,clean@None,clean,None,6.8067,0.3283,0.0885
./robustness_results/SD_Img2Img/MagicBrush_gray_FT,jpeg@85,jpeg,85,6.2133,0.3370,0.1284
./robustness_results/SD_Img2Img/MagicBrush_gray_FT,jpeg@60,jpeg,60,5.6033,0.4824,0.1896
./robustness_results/SD_Img2Img/MagicBrush_gray_FT,jpeg@50,jpeg,50,5.9833,0.4592,0.2028
./robustness_results/SD_Img2Img/MagicBrush_gray_FT,crop_center@0.9,crop_center,0.9,6.3133,0.3537,0.1056
./robustness_results/SD_Img2Img/MagicBrush_gray_FT,crop_center@0.75,crop_center,0.75,7.0000,0.3821,0.0860
./robustness_results/SD_Img2Img/MagicBrush_gray_FT,crop_center@0.5,crop_center,0.5,6.7800,0.3044,0.0747
./robustness_results/SD_Img2Img/MagicBrush_gray_FT,crop_random@0.9,crop_random,0.9,6.7133,0.3323,0.1071
./robustness_results/SD_Img2Img/MagicBrush_gray_FT,crop_random@0.75,crop_random,0.75,6.8800,0.2978,0.0748
./robustness_results/SD_Img2Img/MagicBrush_gray_FT,crop_random@0.5,crop_random,0.5,6.8000,0.2099,0.0437
./robustness_results/SD_Img2Img/MagicBrush_gray_FT,blur@0.5,blur,0.5,6.8133,0.4188,0.1039
./robustness_results/SD_Img2Img/MagicBrush_gray_FT,blur@1.0,blur,1.0,4.3433,0.4671,0.2188
./robustness_results/SD_Img2Img/MagicBrush_gray_FT,blur@2.0,blur,2.0,3.6933,0.5287,0.2649
./robustness_results/SD_Img2Img/MagicBrush_gray_FT,blur@4.0,blur,4.0,5.0567,0.5010,0.2192
./robustness_results/InstructPix2Pix/MagicBrush_photoguard,clean@None,clean,None,2.0367,0.4926,0.2762
./robustness_results/InstructPix2Pix/MagicBrush_photoguard,jpeg@85,jpeg,85,2.0367,0.6354,0.4531
./robustness_results/InstructPix2Pix/MagicBrush_photoguard,jpeg@60,jpeg,60,2.2567,0.6622,0.4946
./robustness_results/InstructPix2Pix/MagicBrush_photoguard,jpeg@50,jpeg,50,2.0300,0.6662,0.5019
./robustness_results/InstructPix2Pix/MagicBrush_photoguard,crop_center@0.9,crop_center,0.9,3.1900,0.5794,0.3648
./robustness_results/InstructPix2Pix/MagicBrush_photoguard,crop_center@0.75,crop_center,0.75,2.5300,0.4745,0.2985
./robustness_results/InstructPix2Pix/MagicBrush_photoguard,crop_center@0.5,crop_center,0.5,4.9833,0.3398,0.1652
./robustness_results/InstructPix2Pix/MagicBrush_photoguard,crop_random@0.9,crop_random,0.9,2.7800,0.5077,0.3254
./robustness_results/InstructPix2Pix/MagicBrush_photoguard,crop_random@0.75,crop_random,0.75,3.0533,0.3988,0.2214
./robustness_results/InstructPix2Pix/MagicBrush_photoguard,crop_random@0.5,crop_random,0.5,5.4400,0.3037,0.1683
./robustness_results/InstructPix2Pix/MagicBrush_photoguard,blur@0.5,blur,0.5,2.2433,0.5447,0.3416
./robustness_results/InstructPix2Pix/MagicBrush_photoguard,blur@1.0,blur,1.0,2.3233,0.6155,0.4224
./robustness_results/InstructPix2Pix/MagicBrush_photoguard,blur@2.0,blur,2.0,2.9633,0.5931,0.2959
./robustness_results/InstructPix2Pix/MagicBrush_photoguard,blur@4.0,blur,4.0,3.1533,0.4983,0.2246
./robustness_results/SD_Inpainting/MagicBrush_photoguard,clean@None,clean,None,3.7600,0.6593,0.4141
./robustness_results/SD_Inpainting/MagicBrush_photoguard,jpeg@85,jpeg,85,1.9633,0.7014,0.5181
./robustness_results/SD_Inpainting/MagicBrush_photoguard,jpeg@60,jpeg,60,1.9300,0.7016,0.5245
./robustness_results/SD_Inpainting/MagicBrush_photoguard,jpeg@50,jpeg,50,1.9800,0.7204,0.5467
./robustness_results/SD_Inpainting/MagicBrush_photoguard,crop_center@0.9,crop_center,0.9,2.4700,0.5954,0.3838
./robustness_results/SD_Inpainting/MagicBrush_photoguard,crop_center@0.75,crop_center,0.75,3.2300,0.4851,0.2759
./robustness_results/SD_Inpainting/MagicBrush_photoguard,crop_center@0.5,crop_center,0.5,3.9967,0.3467,0.1726
./robustness_results/SD_Inpainting/MagicBrush_photoguard,crop_random@0.9,crop_random,0.9,2.7267,0.5401,0.3649
./robustness_results/SD_Inpainting/MagicBrush_photoguard,crop_random@0.75,crop_random,0.75,3.1800,0.3986,0.2426
./robustness_results/SD_Inpainting/MagicBrush_photoguard,crop_random@0.5,crop_random,0.5,4.8233,0.2980,0.1529
./robustness_results/SD_Inpainting/MagicBrush_photoguard,blur@0.5,blur,0.5,2.3600,0.6868,0.4598
./robustness_results/SD_Inpainting/MagicBrush_photoguard,blur@1.0,blur,1.0,1.5133,0.7546,0.5649
./robustness_results/SD_Inpainting/MagicBrush_photoguard,blur@2.0,blur,2.0,2.0533,0.6919,0.5019
./robustness_results/SD_Inpainting/MagicBrush_photoguard,blur@4.0,blur,4.0,3.7333,0.5941,0.3525
./robustness_results/SD_Img2Img/MagicBrush_photoguard,clean@None,clean,None,6.3100,0.2717,0.0896
./robustness_results/SD_Img2Img/MagicBrush_photoguard,jpeg@85,jpeg,85,3.0267,0.5554,0.2601
./robustness_results/SD_Img2Img/MagicBrush_photoguard,jpeg@60,jpeg,60,2.8367,0.6801,0.3981
./robustness_results/SD_Img2Img/MagicBrush_photoguard,jpeg@50,jpeg,50,2.7067,0.6317,0.3383
./robustness_results/SD_Img2Img/MagicBrush_photoguard,crop_center@0.9,crop_center,0.9,5.9400,0.3877,0.1263
./robustness_results/SD_Img2Img/MagicBrush_photoguard,crop_center@0.75,crop_center,0.75,6.5167,0.3184,0.1130
./robustness_results/SD_Img2Img/MagicBrush_photoguard,crop_center@0.5,crop_center,0.5,5.6833,0.2878,0.0844
./robustness_results/SD_Img2Img/MagicBrush_photoguard,crop_random@0.9,crop_random,0.9,5.7733,0.3346,0.1233
./robustness_results/SD_Img2Img/MagicBrush_photoguard,crop_random@0.75,crop_random,0.75,5.8933,0.2959,0.1099
./robustness_results/SD_Img2Img/MagicBrush_photoguard,crop_random@0.5,crop_random,0.5,6.8433,0.2795,0.1030
./robustness_results/SD_Img2Img/MagicBrush_photoguard,blur@0.5,blur,0.5,6.5533,0.3543,0.1287
./robustness_results/SD_Img2Img/MagicBrush_photoguard,blur@1.0,blur,1.0,2.9767,0.6406,0.3710
./robustness_results/SD_Img2Img/MagicBrush_photoguard,blur@2.0,blur,2.0,3.1700,0.5989,0.3075
./robustness_results/SD_Img2Img/MagicBrush_photoguard,blur@4.0,blur,4.0,3.7733,0.5106,0.2342
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,clean@None,clean,None,4.5167,0.4911,0.1886
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,jpeg@85,jpeg,85,4.1200,0.5294,0.2615
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,jpeg@60,jpeg,60,4.5967,0.5802,0.3298
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,jpeg@50,jpeg,50,4.7800,0.5899,0.3255
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,crop_center@0.9,crop_center,0.9,5.7200,0.4624,0.1924
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,crop_center@0.75,crop_center,0.75,5.7033,0.3810,0.1430
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,crop_center@0.5,crop_center,0.5,5.9633,0.3288,0.1337
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,crop_random@0.9,crop_random,0.9,5.9067,0.4371,0.1679
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,crop_random@0.75,crop_random,0.75,5.3367,0.4028,0.1570
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,crop_random@0.5,crop_random,0.5,6.1167,0.2609,0.0785
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,blur@0.5,blur,0.5,3.9633,0.4935,0.2087
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,blur@1.0,blur,1.0,3.5733,0.5004,0.2838
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,blur@2.0,blur,2.0,3.5833,0.5422,0.2919
