Esperimento,Attacco,Tipo Attacco,Parametro,Variante,Punteggio Successo Attacco,IoU Ottimistico,IoU Pessimistico
./robustness_results/InstructPix2Pix/DiffVax,clean@None@immunized,clean,,immunized,1.5967,0.8084,0.7323
./robustness_results/InstructPix2Pix/DiffVax,clean@None@original,clean,,original,1.7900,0.8194,0.7512
./robustness_results/InstructPix2Pix/DiffVax,jpeg@85@immunized,jpeg,85,immunized,1.6300,0.8009,0.7014
./robustness_results/InstructPix2Pix/DiffVax,jpeg@85@original,jpeg,85,original,1.5000,0.8214,0.7134
./robustness_results/InstructPix2Pix/DiffVax,jpeg@60@immunized,jpeg,60,immunized,1.5700,0.7505,0.6344
./robustness_results/InstructPix2Pix/DiffVax,jpeg@60@original,jpeg,60,original,1.7800,0.7583,0.6309
./robustness_results/InstructPix2Pix/DiffVax,jpeg@30@immunized,jpeg,30,immunized,1.8167,0.7244,0.5438
./robustness_results/InstructPix2Pix/DiffVax,jpeg@30@original,jpeg,30,original,1.7000,0.7267,0.5537
./robustness_results/InstructPix2Pix/DiffVax,crop_center@0.9@immunized,crop_center,0.9,immunized,1.5100,0.5941,0.4503
./robustness_results/InstructPix2Pix/DiffVax,crop_center@0.9@original,crop_center,0.9,original,1.4833,0.5844,0.4522
./robustness_results/InstructPix2Pix/DiffVax,crop_center@0.75@immunized,crop_center,0.75,immunized,1.9133,0.4251,0.3011
./robustness_results/InstructPix2Pix/DiffVax,crop_center@0.75@original,crop_center,0.75,original,1.9233,0.4365,0.3054
./robustness_results/InstructPix2Pix/DiffVax,crop_center@0.5@immunized,crop_center,0.5,immunized,2.6267,0.2908,0.1765
./robustness_results/InstructPix2Pix/DiffVax,crop_center@0.5@original,crop_center,0.5,original,2.5800,0.2896,0.1763
./robustness_results/InstructPix2Pix/DiffVax,crop_random@0.9@immunized,crop_random,0.9,immunized,1.7833,0.5432,0.4285
./robustness_results/InstructPix2Pix/DiffVax,crop_random@0.9@original,crop_random,0.9,original,1.8967,0.5803,0.4506
./robustness_results/InstructPix2Pix/DiffVax,crop_random@0.75@immunized,crop_random,0.75,immunized,1.9333,0.3900,0.2863
./robustness_results/InstructPix2Pix/DiffVax,crop_random@0.75@original,crop_random,0.75,original,2.0333,0.4244,0.2993
./robustness_results/InstructPix2Pix/DiffVax,crop_random@0.5@immunized,crop_random,0.5,immunized,3.1200,0.2561,0.1567
./robustness_results/InstructPix2Pix/DiffVax,crop_random@0.5@original,crop_random,0.5,original,2.8400,0.2596,0.1447
./robustness_results/InstructPix2Pix/DiffVax,blur@0.5@immunized,blur,0.5,immunized,1.7733,0.8167,0.6992
./robustness_results/InstructPix2Pix/DiffVax,blur@0.5@original,blur,0.5,original,1.7400,0.8279,0.7386
./robustness_results/InstructPix2Pix/DiffVax,blur@1.0@immunized,blur,1.0,immunized,1.5733,0.7749,0.6211
./robustness_results/InstructPix2Pix/DiffVax,blur@1.0@original,blur,1.0,original,1.6600,0.7828,0.6143
./robustness_results/InstructPix2Pix/DiffVax,blur@2.0@immunized,blur,2.0,immunized,1.7600,0.7326,0.5336
./robustness_results/InstructPix2Pix/DiffVax,blur@2.0@original,blur,2.0,original,2.2067,0.7459,0.5255
./robustness_results/InstructPix2Pix/DiffVax,blur@4.0@immunized,blur,4.0,immunized,2.7400,0.6360,0.3971
./robustness_results/InstructPix2Pix/DiffVax,blur@4.0@original,blur,4.0,original,2.6067,0.6332,0.4003
./robustness_results/InstructPix2Pix/PhotoGuard,clean@None@immunized,clean,,immunized,5.6933,0.5124,0.2291
./robustness_results/InstructPix2Pix/PhotoGuard,clean@None@original,clean,,original,1.4167,0.8358,0.7452
./robustness_results/InstructPix2Pix/PhotoGuard,jpeg@85@immunized,jpeg,85,immunized,3.2100,0.6268,0.4353
./robustness_results/InstructPix2Pix/PhotoGuard,jpeg@85@original,jpeg,85,original,1.3367,0.8106,0.6841
./robustness_results/InstructPix2Pix/PhotoGuard,jpeg@60@immunized,jpeg,60,immunized,1.9233,0.6665,0.5049
./robustness_results/InstructPix2Pix/PhotoGuard,jpeg@60@original,jpeg,60,original,1.9067,0.7654,0.6278
./robustness_results/InstructPix2Pix/PhotoGuard,jpeg@30@immunized,jpeg,30,immunized,1.8800,0.6812,0.4979
./robustness_results/InstructPix2Pix/PhotoGuard,jpeg@30@original,jpeg,30,original,2.0100,0.7241,0.5539
./robustness_results/InstructPix2Pix/PhotoGuard,crop_center@0.9@immunized,crop_center,0.9,immunized,5.8967,0.5411,0.2830
./robustness_results/InstructPix2Pix/PhotoGuard,crop_center@0.9@original,crop_center,0.9,original,1.4067,0.5838,0.4566
./robustness_results/InstructPix2Pix/PhotoGuard,crop_center@0.75@immunized,crop_center,0.75,immunized,5.9200,0.4065,0.1822
./robustness_results/InstructPix2Pix/PhotoGuard,crop_center@0.75@original,crop_center,0.75,original,1.7833,0.4336,0.3150
./robustness_results/InstructPix2Pix/PhotoGuard,crop_center@0.5@immunized,crop_center,0.5,immunized,6.5400,0.2933,0.0854
./robustness_results/InstructPix2Pix/PhotoGuard,crop_center@0.5@original,crop_center,0.5,original,2.6667,0.2882,0.1696
./robustness_results/InstructPix2Pix/PhotoGuard,crop_random@0.9@immunized,crop_random,0.9,immunized,5.1067,0.4765,0.2461
./robustness_results/InstructPix2Pix/PhotoGuard,crop_random@0.9@original,crop_random,0.9,original,1.6700,0.5697,0.4341
./robustness_results/InstructPix2Pix/PhotoGuard,crop_random@0.75@immunized,crop_random,0.75,immunized,6.0767,0.3474,0.1703
./robustness_results/InstructPix2Pix/PhotoGuard,crop_random@0.75@original,crop_random,0.75,original,2.1033,0.4248,0.2997
./robustness_results/InstructPix2Pix/PhotoGuard,crop_random@0.5@immunized,crop_random,0.5,immunized,6.8000,0.2480,0.0672
./robustness_results/InstructPix2Pix/PhotoGuard,crop_random@0.5@original,crop_random,0.5,original,2.8533,0.2683,0.1587
./robustness_results/InstructPix2Pix/PhotoGuard,blur@0.5@immunized,blur,0.5,immunized,2.9333,0.5857,0.3278
./robustness_results/InstructPix2Pix/PhotoGuard,blur@0.5@original,blur,0.5,original,1.5167,0.8293,0.7315
./robustness_results/InstructPix2Pix/PhotoGuard,blur@1.0@immunized,blur,1.0,immunized,1.5033,0.7116,0.4794
./robustness_results/InstructPix2Pix/PhotoGuard,blur@1.0@original,blur,1.0,original,1.7533,0.7847,0.6404
./robustness_results/InstructPix2Pix/PhotoGuard,blur@2.0@immunized,blur,2.0,immunized,2.2500,0.6888,0.4796
./robustness_results/InstructPix2Pix/PhotoGuard,blur@2.0@original,blur,2.0,original,1.8033,0.7273,0.5342
./robustness_results/InstructPix2Pix/PhotoGuard,blur@4.0@immunized,blur,4.0,immunized,3.1133,0.6393,0.3896
./robustness_results/InstructPix2Pix/PhotoGuard,blur@4.0@original,blur,4.0,original,2.6467,0.6296,0.4080
./robustness_results/InstructPix2Pix/VAE_MSE_FT_2_STAGE,clean@None@immunized,clean,,immunized,4.5633,0.7222,0.5704
./robustness_results/InstructPix2Pix/VAE_MSE_FT_2_STAGE,clean@None@original,clean,,original,1.8033,0.8309,0.7743
./robustness_results/InstructPix2Pix/VAE_MSE_FT_2_STAGE,jpeg@85@immunized,jpeg,85,immunized,3.9800,0.7717,0.6235
./robustness_results/InstructPix2Pix/VAE_MSE_FT_2_STAGE,jpeg@85@original,jpeg,85,original,1.6733,0.8148,0.7091
./robustness_results/InstructPix2Pix/VAE_MSE_FT_2_STAGE,jpeg@60@immunized,jpeg,60,immunized,3.6633,0.7313,0.5662
./robustness_results/InstructPix2Pix/VAE_MSE_FT_2_STAGE,jpeg@60@original,jpeg,60,original,1.3800,0.7677,0.6272
./robustness_results/InstructPix2Pix/VAE_MSE_FT_2_STAGE,jpeg@30@immunized,jpeg,30,immunized,2.8367,0.7481,0.5455
./robustness_results/InstructPix2Pix/VAE_MSE_FT_2_STAGE,jpeg@30@original,jpeg,30,original,1.4067,0.7210,0.5517
./robustness_results/InstructPix2Pix/VAE_MSE_FT_2_STAGE,crop_center@0.9@immunized,crop_center,0.9,immunized,4.2933,0.5548,0.4198
./robustness_results/InstructPix2Pix/VAE_MSE_FT_2_STAGE,crop_center@0.9@original,crop_center,0.9,original,1.5167,0.5899,0.4429
