Esperimento,Attacco,Tipo Attacco,Parametro,Variante,Punteggio Successo Attacco,IoU Ottimistico,IoU Pessimistico
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,clean@None@immunized,clean,,immunized,3.9700,0.4850,0.1901
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,clean@None@original,clean,,original,2.1400,0.7300,0.6417
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,jpeg@85@immunized,jpeg,85,immunized,4.8367,0.5572,0.3048
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,jpeg@85@original,jpeg,85,original,2.5667,0.7062,0.5480
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,jpeg@60@immunized,jpeg,60,immunized,5.2900,0.5650,0.3282
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,jpeg@60@original,jpeg,60,original,2.4633,0.6887,0.5150
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,jpeg@30@immunized,jpeg,30,immunized,4.4200,0.5938,0.3633
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,jpeg@30@original,jpeg,30,original,2.4567,0.6313,0.4534
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,crop_center@0.9@immunized,crop_center,0.9,immunized,5.5900,0.4590,0.1851
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,crop_center@0.9@original,crop_center,0.9,original,2.5700,0.5828,0.4386
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,crop_center@0.75@immunized,crop_center,0.75,immunized,5.6800,0.4196,0.1694
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,crop_center@0.75@original,crop_center,0.75,original,2.8633,0.5076,0.3377
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,crop_center@0.5@immunized,crop_center,0.5,immunized,6.1033,0.2907,0.1098
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,crop_center@0.5@original,crop_center,0.5,original,3.6933,0.3624,0.2309
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,crop_random@0.9@immunized,crop_random,0.9,immunized,4.8200,0.4595,0.2004
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,crop_random@0.9@original,crop_random,0.9,original,2.6067,0.5441,0.4060
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,crop_random@0.75@immunized,crop_random,0.75,immunized,5.8533,0.3781,0.1438
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,crop_random@0.75@original,crop_random,0.75,original,2.5733,0.4346,0.2684
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,crop_random@0.5@immunized,crop_random,0.5,immunized,6.3433,0.2732,0.0889
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,crop_random@0.5@original,crop_random,0.5,original,3.1700,0.2884,0.1724
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,blur@0.5@immunized,blur,0.5,immunized,3.3467,0.5402,0.2781
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,blur@0.5@original,blur,0.5,original,2.4400,0.7073,0.5751
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,blur@1.0@immunized,blur,1.0,immunized,2.9867,0.5436,0.2700
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,blur@1.0@original,blur,1.0,original,2.8133,0.6375,0.4630
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,blur@2.0@immunized,blur,2.0,immunized,3.7100,0.5480,0.2996
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,blur@2.0@original,blur,2.0,original,3.0267,0.6013,0.3804
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,blur@4.0@immunized,blur,4.0,immunized,3.8733,0.5283,0.2285
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,blur@4.0@original,blur,4.0,original,3.6167,0.5061,0.2279
./robustness_results/InstructPix2Pix/MagicBrush_photoguard,clean@None@immunized,clean,,immunized,3.0733,0.5765,0.3134
./robustness_results/InstructPix2Pix/MagicBrush_photoguard,clean@None@original,clean,,original,2.2633,0.7365,0.5958
