Esperimento,attack_success_score__blur@0.5@immunized,attack_success_score__blur@0.5@original,attack_success_score__blur@1.0@immunized,attack_success_score__blur@1.0@original,attack_success_score__blur@2.0@immunized,attack_success_score__blur@2.0@original,attack_success_score__blur@4.0@immunized,attack_success_score__blur@4.0@original,attack_success_score__clean@None@immunized,attack_success_score__clean@None@original,attack_success_score__crop_center@0.5@immunized,attack_success_score__crop_center@0.5@original,attack_success_score__crop_center@0.75@immunized,attack_success_score__crop_center@0.75@original,attack_success_score__crop_center@0.9@immunized,attack_success_score__crop_center@0.9@original,attack_success_score__crop_random@0.5@immunized,attack_success_score__crop_random@0.5@original,attack_success_score__crop_random@0.75@immunized,attack_success_score__crop_random@0.75@original,attack_success_score__crop_random@0.9@immunized,attack_success_score__crop_random@0.9@original,attack_success_score__jpeg@30@immunized,attack_success_score__jpeg@30@original,attack_success_score__jpeg@60@immunized,attack_success_score__jpeg@60@original,attack_success_score__jpeg@85@immunized,attack_success_score__jpeg@85@original,optimistic_iou__blur@0.5@immunized,optimistic_iou__blur@0.5@original,optimistic_iou__blur@1.0@immunized,optimistic_iou__blur@1.0@original,optimistic_iou__blur@2.0@immunized,optimistic_iou__blur@2.0@original,optimistic_iou__blur@4.0@immunized,optimistic_iou__blur@4.0@original,optimistic_iou__clean@None@immunized,optimistic_iou__clean@None@original,optimistic_iou__crop_center@0.5@immunized,optimistic_iou__crop_center@0.5@original,optimistic_iou__crop_center@0.75@immunized,optimistic_iou__crop_center@0.75@original,optimistic_iou__crop_center@0.9@immunized,optimistic_iou__crop_center@0.9@original,optimistic_iou__crop_random@0.5@immunized,optimistic_iou__crop_random@0.5@original,optimistic_iou__crop_random@0.75@immunized,optimistic_iou__crop_random@0.75@original,optimistic_iou__crop_random@0.9@immunized,optimistic_iou__crop_random@0.9@original,optimistic_iou__jpeg@30@immunized,optimistic_iou__jpeg@30@original,optimistic_iou__jpeg@60@immunized,optimistic_iou__jpeg@60@original,optimistic_iou__jpeg@85@immunized,optimistic_iou__jpeg@85@original,pessimistic_iou__blur@0.5@immunized,pessimistic_iou__blur@0.5@original,pessimistic_iou__blur@1.0@immunized,pessimistic_iou__blur@1.0@original,pessimistic_iou__blur@2.0@immunized,pessimistic_iou__blur@2.0@original,pessimistic_iou__blur@4.0@immunized,pessimistic_iou__blur@4.0@original,pessimistic_iou__clean@None@immunized,pessimistic_iou__clean@None@original,pessimistic_iou__crop_center@0.5@immunized,pessimistic_iou__crop_center@0.5@original,pessimistic_iou__crop_center@0.75@immunized,pessimistic_iou__crop_center@0.75@original,pessimistic_iou__crop_center@0.9@immunized,pessimistic_iou__crop_center@0.9@original,pessimistic_iou__crop_random@0.5@immunized,pessimistic_iou__crop_random@0.5@original,pessimistic_iou__crop_random@0.75@immunized,pessimistic_iou__crop_random@0.75@original,pessimistic_iou__crop_random@0.9@immunized,pessimistic_iou__crop_random@0.9@original,pessimistic_iou__jpeg@30@immunized,pessimistic_iou__jpeg@30@original,pessimistic_iou__jpeg@60@immunized,pessimistic_iou__jpeg@60@original,pessimistic_iou__jpeg@85@immunized,pessimistic_iou__jpeg@85@original
./robustness_results/InstructPix2Pix/DiffVax,1.7733,1.7400,1.5733,1.6600,1.7600,2.2067,2.7400,2.6067,1.5967,1.7900,2.6267,2.5800,1.9133,1.9233,1.5100,1.4833,3.1200,2.8400,1.9333,2.0333,1.7833,1.8967,1.8167,1.7000,1.5700,1.7800,1.6300,1.5000,0.8167,0.8279,0.7749,0.7828,0.7326,0.7459,0.6360,0.6332,0.8084,0.8194,0.2908,0.2896,0.4251,0.4365,0.5941,0.5844,0.2561,0.2596,0.3900,0.4244,0.5432,0.5803,0.7244,0.7267,0.7505,0.7583,0.8009,0.8214,0.6992,0.7386,0.6211,0.6143,0.5336,0.5255,0.3971,0.4003,0.7323,0.7512,0.1765,0.1763,0.3011,0.3054,0.4503,0.4522,0.1567,0.1447,0.2863,0.2993,0.4285,0.4506,0.5438,0.5537,0.6344,0.6309,0.7014,0.7134
./robustness_results/InstructPix2Pix/PhotoGuard,2.9333,1.5167,1.5033,1.7533,2.2500,1.8033,3.1133,2.6467,5.6933,1.4167,6.5400,2.6667,5.9200,1.7833,5.8967,1.4067,6.8000,2.8533,6.0767,2.1033,5.1067,1.6700,1.8800,2.0100,1.9233,1.9067,3.2100,1.3367,0.5857,0.8293,0.7116,0.7847,0.6888,0.7273,0.6393,0.6296,0.5124,0.8358,0.2933,0.2882,0.4065,0.4336,0.5411,0.5838,0.2480,0.2683,0.3474,0.4248,0.4765,0.5697,0.6812,0.7241,0.6665,0.7654,0.6268,0.8106,0.3278,0.7315,0.4794,0.6404,0.4796,0.5342,0.3896,0.4080,0.2291,0.7452,0.0854,0.1696,0.1822,0.3150,0.2830,0.4566,0.0672,0.1587,0.1703,0.2997,0.2461,0.4341,0.4979,0.5539,0.5049,0.6278,0.4353,0.6841
./robustness_results/InstructPix2Pix/VAE_MSE_FT_2_STAGE,4.4367,1.8467,1.9733,1.8600,2.1333,1.8067,3.0167,3.5767,4.5633,1.8033,6.1233,2.4267,4.5833,1.8233,4.2933,1.5167,5.8167,3.0900,5.0833,1.9733,4.9767,1.7067,2.8367,1.4067,3.6633,1.3800,3.9800,1.6733,0.7750,0.8380,0.7636,0.8035,0.7042,0.7256,0.6482,0.6247,0.7222,0.8309,0.3035,0.3022,0.4357,0.4355,0.5548,0.5899,0.2643,0.2616,0.3918,0.4149,0.5475,0.5813,0.7481,0.7210,0.7313,0.7677,0.7717,0.8148,0.6170,0.7307,0.6118,0.6550,0.4900,0.5348,0.3981,0.4011,0.5704,0.7743,0.1717,0.1722,0.2816,0.3082,0.4198,0.4429,0.1496,0.1453,0.2597,0.2904,0.4111,0.4412,0.5455,0.5517,0.5662,0.6272,0.6235,0.7091
./robustness_results/InstructPix2Pix/VAE_MSE_TARGET_OPT,4.2767,1.6300,1.7467,1.6633,2.5833,2.0267,3.3367,2.6400,4.2500,1.5400,6.1167,2.7467,5.6700,2.1200,4.5333,1.4700,6.1500,3.0233,5.1533,1.9067,4.3300,2.1700,2.4333,1.8933,3.4833,1.7467,4.3700,1.7900,0.7717,0.8279,0.7814,0.7808,0.6910,0.7225,0.6223,0.6409,0.7509,0.8417,0.2845,0.3050,0.4282,0.4345,0.5661,0.5964,0.2603,0.2482,0.3970,0.4207,0.5560,0.5919,0.7075,0.7247,0.7401,0.7441,0.7888,0.8148,0.5969,0.7187,0.6057,0.6520,0.4698,0.5151,0.3908,0.4051,0.5992,0.7844,0.1773,0.1667,0.3039,0.3063,0.4085,0.4606,0.1468,0.1403,0.2676,0.2960,0.4071,0.4351,0.5357,0.5611,0.5777,0.6174,0.6425,0.6864
./robustness_results/SD_Img2Img/DiffVax,1.2967,1.1567,1.9833,1.8933,2.8667,3.1067,4.2633,4.4133,1.3267,1.0000,3.3933,2.8467,2.6500,2.9433,2.8033,2.7000,3.2433,3.3900,3.0067,3.4300,3.0000,3.2033,2.4467,2.3133,1.4100,1.3867,1.3200,1.1733,0.7911,0.8317,0.7059,0.7483,0.6246,0.6284,0.6016,0.5809,0.7804,1.0000,0.3418,0.3037,0.4770,0.4735,0.5574,0.5391,0.2642,0.2713,0.3768,0.4380,0.5434,0.5593,0.7163,0.6734,0.7105,0.7305,0.7604,0.7761,0.6547,0.7047,0.5011,0.5082,0.3745,0.3772,0.3148,0.3054,0.6575,1.0000,0.1585,0.1521,0.2467,0.2425,0.3188,0.3138,0.1234,0.1268,0.2102,0.2323,0.3193,0.3064,0.4826,0.4682,0.5487,0.5666,0.6070,0.6576
./robustness_results/SD_Img2Img/PhotoGuard,7.0000,1.1567,4.2367,1.8933,4.2933,3.1067,4.4233,4.4133,7.0000,1.0000,7.0000,2.8467,7.0000,2.9433,6.8100,2.7000,7.0000,3.3900,6.8167,3.4300,6.7400,3.2033,3.9100,2.3133,4.9100,1.3867,5.7000,1.1733,0.3362,0.8317,0.5593,0.7483,0.5987,0.6284,0.5755,0.5809,0.2927,1.0000,0.3629,0.3037,0.4204,0.4735,0.3995,0.5391,0.2090,0.2713,0.3745,0.4380,0.3765,0.5593,0.6072,0.6734,0.5324,0.7305,0.4223,0.7761,0.0684,0.7047,0.3019,0.5082,0.3267,0.3772,0.2890,0.3054,0.0643,1.0000,0.0527,0.1521,0.0653,0.2425,0.0647,0.3138,0.0329,0.1268,0.0616,0.2323,0.0619,0.3064,0.3452,0.4682,0.2778,0.5666,0.1413,0.6576
./robustness_results/SD_Img2Img/VAE_MSE_FT_2_STAGE,5.5567,1.1567,3.8533,1.8933,4.1200,3.1067,5.5167,4.4133,6.2900,1.0000,5.9267,2.8467,5.2633,2.9433,4.6467,2.7000,5.9000,3.3900,4.8467,3.4300,4.7067,3.2033,3.9633,2.3133,3.0467,1.3867,3.6300,1.1733,0.4898,0.8317,0.5898,0.7483,0.5794,0.6284,0.5498,0.5809,0.4885,1.0000,0.3145,0.3037,0.4222,0.4735,0.5102,0.5391,0.2725,0.2713,0.3889,0.4380,0.4772,0.5593,0.5923,0.6734,0.6100,0.7305,0.5983,0.7761,0.2462,0.7047,0.3789,0.5082,0.3387,0.3772,0.2904,0.3054,0.2306,1.0000,0.1024,0.1521,0.1778,0.2425,0.2390,0.3138,0.1033,0.1268,0.1746,0.2323,0.2053,0.3064,0.3763,0.4682,0.4148,0.5666,0.4098,0.6576
./robustness_results/SD_Img2Img/VAE_MSE_TARGET_OPT,5.4967,1.1567,3.4667,1.8933,4.0267,3.1067,5.3600,4.4133,5.4833,1.0000,5.4300,2.8467,5.4667,2.9433,4.9700,2.7000,6.2367,3.3900,5.0967,3.4300,5.2033,3.2033,3.8567,2.3133,3.2433,1.3867,3.9200,1.1733,0.5099,0.8317,0.6468,0.7483,0.5735,0.6284,0.5472,0.5809,0.4343,1.0000,0.3033,0.3037,0.3637,0.4735,0.4551,0.5391,0.2709,0.2713,0.3832,0.4380,0.4773,0.5593,0.5802,0.6734,0.6525,0.7305,0.5808,0.7761,0.2488,0.7047,0.4227,0.5082,0.3466,0.3772,0.2814,0.3054,0.1822,1.0000,0.1001,0.1521,0.1503,0.2425,0.2044,0.3138,0.0998,0.1268,0.1582,0.2323,0.2107,0.3064,0.3665,0.4682,0.4439,0.5666,0.3903,0.6576
./robustness_results/SD_Inpainting/DiffVax,4.4667,2.0233,4.2867,2.6933,4.2400,2.7033,2.7033,2.6300,4.8300,1.2667,3.5100,3.1900,2.8200,2.7767,2.4433,2.6767,3.8433,3.1067,3.7367,3.2533,3.0700,2.7933,4.0167,2.2867,4.7033,2.2400,4.0567,2.1067,0.4270,0.5099,0.4166,0.4427,0.3964,0.3815,0.3582,0.3571,0.4119,0.8647,0.3199,0.3150,0.4051,0.3963,0.4420,0.4067,0.2554,0.2390,0.2837,0.3163,0.3363,0.3944,0.3908,0.4701,0.4163,0.5435,0.4082,0.5878,0.1172,0.3229,0.1368,0.2225,0.1405,0.1602,0.1400,0.1500,0.1087,0.7932,0.1330,0.1353,0.1864,0.1887,0.2150,0.2159,0.0794,0.0847,0.1163,0.1107,0.1552,0.1764,0.1329,0.2576,0.1368,0.3080,0.1174,0.3510
./robustness_results/SD_Inpainting/PhotoGuard,3.0233,2.0233,2.4167,2.6933,3.2167,2.7033,2.4233,2.6300,3.4100,1.2667,5.3767,3.1900,4.1300,2.7767,2.7133,2.6767,5.8300,3.1067,5.3833,3.2533,3.4567,2.7933,2.0167,2.2867,2.3933,2.2400,2.3967,2.1067,0.4207,0.5099,0.4470,0.4427,0.3729,0.3815,0.3991,0.3571,0.3884,0.8647,0.2845,0.3150,0.3760,0.3963,0.3851,0.4067,0.2813,0.2390,0.3117,0.3163,0.3368,0.3944,0.4754,0.4701,0.4461,0.5435,0.4341,0.5878,0.1976,0.3229,0.2035,0.2225,0.1682,0.1602,0.1488,0.1500,0.1850,0.7932,0.1122,0.1353,0.1592,0.1887,0.2053,0.2159,0.0780,0.0847,0.1177,0.1107,0.1491,0.1764,0.2507,0.2576,0.2463,0.3080,0.2215,0.3510
