n_steps,l_vae,l_vae_std,l_noise,l_noise_std,subject_lpips,subject_lpips_std,global_lpips,global_lpips_std
50,21.65704460144043,1.930710704101435,0.00978455264121294,0.0035980004761911356,0.05206416301677917,0.02339258054216546,0.014466865966096521,0.007416579835974379
100,21.019145965576172,2.025518639828062,0.011348404176533222,0.0030494057879818836,0.06638255425148826,0.022737959889692645,0.018657665606588124,0.0074479381077525286
200,18.467352676391602,2.066035047442902,0.014788627438247205,0.003627865164857377,0.2106872260024452,0.07222629896689488,0.06062609180808067,0.021156169224328513
300,17.38809871673584,1.7066151526277682,0.015953373908996583,0.0035480427521635163,0.2455492350791036,0.07238636301403635,0.0707491546869278,0.021548662118722216
400,16.5071138381958,1.7529269629633022,0.017206030339002608,0.004306699390649793,0.27419242191666926,0.08142222711248803,0.07889643609523773,0.0238892208676369
500,15.787451934814452,1.6619619583160352,0.017247124761343,0.003930845767421405,0.3009289261944404,0.0805527300523037,0.08638138025999069,0.02470741883441187
600,15.135772895812988,1.7419849432545562,0.01745524536818266,0.0039824876967864,0.30473790386021177,0.07566001681738915,0.08727088123559952,0.023721424668663716
700,14.641558647155762,1.7676893890687115,0.017154419980943202,0.003569849301473807,0.3069905578691113,0.08173733605667259,0.08733624815940857,0.025128512265170586
800,14.14121322631836,1.732439423819389,0.01740363296121359,0.004246162974422948,0.30467099104936357,0.07750916537312001,0.08653725832700729,0.023967966017398257
900,13.718666458129883,1.6739523886895769,0.0172337144613266,0.0041518192629718415,0.3078315503907277,0.07086769972507828,0.08734953850507736,0.02210958983107869
1000,13.899556922912598,1.468012100724043,0.016924520768225194,0.004014524750189731,0.3063424474871123,0.07226758346356858,0.08646948412060737,0.02281944106792541
