n_steps,l_vae,l_vae_std,l_noise,l_noise_std,subject_lpips,subject_lpips_std,global_lpips,global_lpips_std
50,12.439092445373536,1.2532850928031238,0.03057135231792927,0.007787308419288913,0.47653121676055565,0.08138188187619892,0.12849940210580826,0.014574366031699926
100,12.061770057678222,1.2234960979028362,0.02841350845992565,0.0070687214748594174,0.45303131909195793,0.07878989227869009,0.12334360480308533,0.015284324219875009
200,10.934935760498046,1.1332773995592775,0.025281476601958276,0.006934768438177495,0.4137383193708012,0.08185992531298833,0.11192820072174073,0.015137936265944072
300,10.549498558044434,1.0494799809036908,0.02373209409415722,0.00661040995843594,0.3954434933206827,0.0817297254774421,0.10792879611253739,0.01722530973867483
400,10.284053421020507,0.958764875558133,0.023172507435083388,0.0064189694233533125,0.3816846825637653,0.08571567943623014,0.10474968403577804,0.017873401475588167
500,10.215922927856445,0.9463754186010599,0.02251823600381613,0.006363593269510919,0.3780977664759599,0.07907078464936625,0.10370657593011856,0.01675352717201676
600,10.160707473754883,0.9377659894096965,0.021660919301211834,0.00587518598845832,0.3710679230937138,0.08367493297079391,0.10116691589355468,0.016749740337045314
700,10.0520658493042,0.9385432535455414,0.02127683609724045,0.005925089549933552,0.36635530162233865,0.08044560386964504,0.10024874657392502,0.01653859624419681
800,10.003833389282226,0.8853759704092429,0.021094773337244986,0.005699692015234953,0.3667160158619007,0.08361268961915438,0.1005634382367134,0.016924394858840813
900,10.010533332824707,0.883695301341306,0.020926058292388916,0.005544537781075205,0.3583306113342644,0.08122664479926835,0.09810906797647476,0.01623820125049991
1000,9.985818862915039,0.9368499033588603,0.02060598097741604,0.005828774116813002,0.35501079245692807,0.07469418491908231,0.09751763641834259,0.014641088005523785
