n_steps,l_vae,l_vae_std,l_noise,l_noise_std,subject_lpips,subject_lpips_std,global_lpips,global_lpips_std,editing_score_attack,editing_score_instructpix2pix,editing_score_attacksd
50,12.600797080993653,1.3130001990703226,0.0211384110152721,0.0052103651466362,0.3802739337600015,0.092434788360845,0.103143897652626,0.0158455939122204,7.0,7.0,7.0
100,12.30514907836914,1.2681671613934928,0.0204661302268505,0.0051058819180616,0.370565359783425,0.0862012188606446,0.100718306005001,0.0146477293451521,7.0,7.0,7.0
200,11.419627952575684,1.1247366851177183,0.0191580444574356,0.0049925300788699,0.3447097411679339,0.0808770377170362,0.0946004197001457,0.0161866303529496,7.0,7.0,7.0
300,10.750627136230468,0.8939918083719101,0.0178295385092496,0.0043373684543956,0.3277956894935533,0.0887370906692353,0.0900279656052589,0.0185553623194379,7.0,7.0,7.0
400,10.491086769104005,0.9680683572377304,0.0172461524605751,0.0043499199319169,0.3165350118296018,0.0814754550429452,0.0867637693881988,0.0164295186599473,7.0,7.0,5.9
500,10.31145362854004,0.956626151934065,0.0166479978710413,0.0041404885521102,0.3141457714682004,0.083102233797712,0.0865098774433136,0.0173992566036777,7.0,7.0,7.0
600,10.199600219726562,0.9106190373393908,0.0163286807015538,0.0041282602822959,0.3074229880492763,0.0819217235345599,0.0846197456121444,0.0170566731173386,7.0,7.0,6.7
700,10.09066047668457,0.9227104287638724,0.0158384177833795,0.004100794470075,0.2923938247695217,0.0775295762120734,0.0807224780321121,0.0164362185489145,7.0,7.0,7.0
800,10.024556541442871,0.8909735497899692,0.0155000638216733,0.0039272826720201,0.2890686026080838,0.0689937474790678,0.0796875670552253,0.0142396880115023,6.8,7.0,7.0
900,10.035343360900878,0.8774881621983881,0.0155108684673905,0.0038745724758531,0.2956618538793393,0.0802561138769365,0.080885237455368,0.0153809517621366,7.0,7.0,7.0
1000,10.016702461242676,0.7844416697614569,0.0154396302998065,0.003794994883451,0.2907191333592083,0.0799734138624909,0.0796086847782135,0.0153568726870621,6.666666666666666,7.0,7.0
