name,psnr_quality,ssim_quality,fsim_quality,psnr_protection,ssim_protection,fsim_protection,subject_lpips_orig,global_lpips_orig,subject_lpips_edited,global_lpips_edited,attack_success_score,attack_successes_count,attack_success_rate,optimistic_miou_orig,pessimistic_miou_orig,optimistic_miou_edited,pessimistic_miou_edited
./InstructionPix2Pix/full_dataset/TedBench_diff_noise_all,29.2343,0.7886,0.6844,16.1097,0.5239,0.4493,0.2198,0.2495,0.5857,0.4848,4.3275,47,0.4700,0.7064,0.4373,0.6144,0.3360
./SD_Inpainting/full_dataset/TedBench_diff_noise_all,29.2343,0.7886,0.6844,17.3413,0.5726,0.4948,0.2198,0.2495,0.2198,0.4710,5.5958,74,0.7400,0.7064,0.4373,0.5721,0.2428
./SD_Img2Img/full_dataset/TedBench_diff_noise_all,29.2343,0.7886,0.6844,15.5742,0.4292,0.4356,0.2198,0.2495,0.7369,0.6393,6.4283,93,0.9300,0.7064,0.4373,0.4178,0.1773
./InstructionPix2Pix/full_dataset/TedBench_diff_noise_mask,33.1275,0.9293,0.8616,19.7074,0.7187,0.5927,0.3046,0.0815,0.4908,0.2413,3.7250,46,0.4600,0.8734,0.7778,0.7498,0.5733
./SD_Inpainting/full_dataset/TedBench_diff_noise_mask,33.1275,0.9293,0.8616,16.3992,0.5256,0.4680,0.3046,0.0815,0.3046,0.5344,5.8733,80,0.8000,0.8734,0.7778,0.5507,0.2162
./SD_Img2Img/full_dataset/TedBench_diff_noise_mask,33.1275,0.9293,0.8616,21.6217,0.6743,0.5736,0.3046,0.0815,0.5310,0.3454,5.3108,78,0.7800,0.8734,0.7778,0.6353,0.3823
./InstructionPix2Pix/full_dataset/TedBench_photoguard,37.6347,0.9379,0.8190,17.1107,0.5842,0.4984,0.0456,0.0872,0.4866,0.3953,3.4608,35,0.3500,0.8469,0.7012,0.6354,0.3843
./SD_Inpainting/full_dataset/TedBench_photoguard,37.6347,0.9379,0.8190,20.5910,0.7124,0.5960,0.0456,0.0872,0.0456,0.3025,2.8375,22,0.2200,0.8469,0.7012,0.6403,0.3602
./SD_Img2Img/full_dataset/TedBench_photoguard,37.6347,0.9379,0.8190,18.0251,0.5404,0.4909,0.0456,0.0872,0.5476,0.5007,6.5917,95,0.9500,0.8469,0.7012,0.5421,0.2479
./InstructionPix2Pix/full_dataset/TedBench_diff_noise_mask_invert,30.9404,0.8455,0.7861,17.2671,0.5734,0.4899,0.2762,0.1906,0.4712,0.4152,3.7367,31,0.3100,0.7246,0.4870,0.6262,0.3769
./SD_Inpainting/full_dataset/TedBench_diff_noise_mask_invert,30.9404,0.8455,0.7861,18.8593,0.6652,0.5463,0.2762,0.1906,0.2762,0.3800,6.3767,93,0.9300,0.7246,0.4870,0.7119,0.4257
./SD_Img2Img/full_dataset/TedBench_diff_noise_mask_invert,30.9404,0.8455,0.7861,17.2985,0.4978,0.4857,0.2762,0.1906,0.5818,0.5438,6.5175,97,0.9700,0.7246,0.4870,0.4978,0.2473
