Esperimento,PSNR Qualità,SSIM Qualità,FSIM Qualità,PSNR Protezione,SSIM Protezione,FSIM Protezione,LPIPS Sogg. Orig,LPIPS Glob. Orig,LPIPS Sogg. Edit,LPIPS Glob. Edit,attack_success_score,attack_successes_count,Tasso Attacco,mIoU Ottim. Orig,mIoU Pessim. Orig,mIoU Ottim. Edit,mIoU Pessim. Edit
SD_Inpainting/full_dataset/VAE_MSE_FT_2_STAGE,32.4316,0.9316,0.8958,15.7260,0.5534,0.4933,0.2695,0.0695,0.2695,0.4656,5.1721,126,0.6300,0.8554,0.7582,0.4151,0.1789
SD_Img2Img/full_dataset/VAE_MSE_FT_2_STAGE,32.4316,0.9316,0.8958,20.4774,0.6738,0.5938,0.2695,0.0695,0.5646,0.3745,5.8863,160,0.8000,0.8554,0.7582,0.4829,0.2327
InstructionPix2Pix/full_dataset/VAE_MSE_FT_2_STAGE,32.4316,0.9316,0.8958,22.6643,0.8052,0.6955,0.2695,0.0695,0.4702,0.1806,5.2988,137,0.6850,0.8554,0.7582,0.7636,0.6034
SD_Inpainting/full_dataset/VAE_MSE_BLACK,28.0833,0.9084,0.8717,15.1579,0.5154,0.4725,0.4029,0.1031,0.4029,0.5196,6.6950,197,0.9850,0.8460,0.7356,0.4060,0.1537
SD_Img2Img/full_dataset/VAE_MSE_BLACK,28.0833,0.9084,0.8717,20.0912,0.6923,0.6000,0.4029,0.1031,0.5694,0.3521,6.0867,171,0.8550,0.8460,0.7356,0.5014,0.2421
InstructionPix2Pix/full_dataset/VAE_MSE_BLACK,28.0833,0.9084,0.8717,21.7524,0.7974,0.6903,0.4029,0.1031,0.5177,0.1954,5.2242,165,0.8250,0.8460,0.7356,0.7569,0.5869
SD_Inpainting/full_dataset/VAE_MSE_WHITE,26.5284,0.8819,0.8624,15.0548,0.4811,0.4694,0.5016,0.1288,0.5016,0.5417,6.6563,196,0.9800,0.8468,0.7444,0.3966,0.1638
SD_Img2Img/full_dataset/VAE_MSE_WHITE,26.5284,0.8819,0.8624,19.6975,0.6960,0.6124,0.5016,0.1288,0.5788,0.3304,5.5921,163,0.8150,0.8468,0.7444,0.5301,0.2763
InstructionPix2Pix/full_dataset/VAE_MSE_WHITE,26.5284,0.8819,0.8624,21.5426,0.7962,0.6929,0.5016,0.1288,0.5741,0.1924,4.9154,156,0.7800,0.8468,0.7444,0.7693,0.6146
SD_Inpainting/full_dataset/VAE_MSE_MEAN,28.6610,0.8989,0.8659,15.1033,0.5008,0.4624,0.4158,0.1063,0.4158,0.5166,6.8121,198,0.9900,0.8473,0.7440,0.3988,0.1570
SD_Img2Img/full_dataset/VAE_MSE_MEAN,28.6610,0.8989,0.8659,20.3938,0.6787,0.5983,0.4158,0.1063,0.5492,0.3656,5.9433,164,0.8200,0.8473,0.7440,0.5179,0.2504
InstructionPix2Pix/full_dataset/VAE_MSE_MEAN,28.6610,0.8989,0.8659,22.0468,0.8025,0.6976,0.4158,0.1063,0.5009,0.1809,5.4388,169,0.8450,0.8473,0.7440,0.7681,0.6078
SD_Inpainting/full_dataset/VAE_MSE_TARGET_OPT,32.5601,0.9289,0.8946,15.2937,0.5270,0.4787,0.2859,0.0744,0.2859,0.4914,6.3650,182,0.9100,0.8533,0.7549,0.4022,0.1615
SD_Img2Img/full_dataset/VAE_MSE_TARGET_OPT,32.5601,0.9289,0.8946,20.1594,0.6586,0.5775,0.2859,0.0744,0.5653,0.3950,6.2783,175,0.8750,0.8533,0.7549,0.4701,0.2025
InstructionPix2Pix/full_dataset/VAE_MSE_TARGET_OPT,32.5601,0.9289,0.8946,22.2030,0.7956,0.6890,0.2859,0.0744,0.4854,0.1898,5.4142,162,0.8100,0.8533,0.7549,0.7521,0.5936
